track,slice,x,y
4,124,1695,1125
4,127,1693,1124
4,130,1691,1122
4,133,1691,1122
4,136,1689,1120
4,139,1687,1118
4,142,1687,1118
4,145,1687,1118
4,148,1684,1115
4,151,1683,1112
4,154,1680,1110
4,157,1680,1110
4,160,1680,1109
4,163,1679,1109
4,166,1678,1109
4,169,1678,1109
4,172,1673,1105
4,175,1667,1097
4,178,1666,1095
4,181,1666,1096
4,184,1666,1096
4,187,1663,1094
4,190,1657,1086
4,193,1651,1080
4,196,1647,1076
4,199,1644,1070
4,202,1638,1063
4,205,1631,1056
4,208,1625,1047
4,211,1625,1046
4,214,1620,1043
4,217,1616,1038
4,220,1611,1031
4,223,1608,1028
4,226,1604,1024
4,229,1602,1021
4,232,1601,1020
4,235,1600,1019
4,238,1594,1009
4,241,1585,994
4,244,1583,988
4,247,1574,980
4,250,1568,975
4,253,1560,968
4,256,1557,965
4,259,1553,958
4,262,1548,955
4,265,1542,951
4,268,1541,947
4,271,1538,943
4,274,1534,939
4,277,1533,938
4,280,1529,936
4,283,1526,933
4,286,1525,932
4,289,1524,931
4,292,1526,930
4,295,1524,929
4,298,1523,928
4,301,1521,926
4,304,1516,922
4,307,1513,920
4,310,1515,919
4,313,1516,918
4,316,1514,917
4,319,1513,915
4,322,1512,914
4,325,1513,914
4,328,1513,912
4,331,1509,910
4,334,1505,908
4,337,1498,906
4,340,1491,902
4,343,1486,901
4,346,1483,900
4,349,1483,903
4,352,1481,904
4,355,1480,903
4,358,1480,906
4,361,1474,901
4,364,1472,900
4,367,1471,897
4,370,1468,897
4,373,1465,896
4,376,1465,894
4,379,1466,893
4,382,1454,890
4,385,1447,887
4,388,1432,880
4,391,1426,877
4,394,1425,873
4,397,1415,869
4,400,1411,865
4,403,1406,863
4,406,1400,861
4,409,1395,858
4,412,1393,857
4,415,1386,854
4,418,1380,849
4,421,1374,844
4,424,1371,840
4,427,1369,837
4,430,1364,830
4,433,1360,827
4,436,1352,822
4,439,1345,816
4,442,1340,813
4,445,1337,810
4,448,1331,808
4,451,1321,807
4,454,1315,806
4,457,1313,803
